freq (Hz),output noise; A / sqrt(Hz) (A / sqrt(Hz))
1.00000,150.765E-12
1.04713,147.055E-12
1.09648,143.369E-12
1.14815,139.707E-12
1.20226,136.066E-12
1.25893,132.446E-12
1.31826,128.845E-12
1.38038,125.264E-12
1.44544,121.702E-12
1.51356,118.160E-12
1.58489,114.640E-12
1.65959,111.144E-12
1.73780,107.673E-12
1.81970,104.230E-12
1.90546,100.819E-12
1.99526,97.4416E-12
2.08930,94.1030E-12
2.18776,90.8066E-12
2.29087,87.5564E-12
2.39883,84.3565E-12
2.51189,81.2109E-12
2.63027,78.1236E-12
2.75423,75.0984E-12
2.88403,72.1389E-12
3.01995,69.2485E-12
3.16228,66.4300E-12
3.31131,63.6862E-12
3.46737,61.0192E-12
3.63078,58.4310E-12
3.80189,55.9228E-12
3.98107,53.4958E-12
4.16869,51.1505E-12
4.36516,48.8871E-12
4.57088,46.7055E-12
4.78630,44.6051E-12
5.01187,42.5852E-12
5.24807,40.6447E-12
5.49541,38.7823E-12
5.75440,36.9963E-12
6.02560,35.2851E-12
6.30957,33.6467E-12
6.60693,32.0792E-12
6.91831,30.5804E-12
7.24436,29.1481E-12
7.58578,27.7801E-12
7.94328,26.4741E-12
8.31764,25.2278E-12
8.70964,24.0390E-12
9.12011,22.9052E-12
9.54993,21.8244E-12
10.0000,20.7942E-12
10.4713,19.8126E-12
10.9648,18.8774E-12
11.4815,17.9866E-12
12.0226,17.1381E-12
12.5893,16.3301E-12
13.1826,15.5607E-12
13.8038,14.8281E-12
14.4544,14.1305E-12
15.1356,13.4664E-12
15.8489,12.8341E-12
16.5959,12.2321E-12
17.3780,11.6590E-12
18.1970,11.1134E-12
19.0546,10.5939E-12
19.9526,10.0993E-12
20.8930,9.62830E-12
21.8776,9.17988E-12
22.9087,8.75288E-12
23.9883,8.34628E-12
25.1189,7.95907E-12
26.3027,7.59031E-12
27.5423,7.23911E-12
28.8403,6.90461E-12
30.1995,6.58600E-12
31.6228,6.28252E-12
33.1131,5.99343E-12
34.6737,5.71802E-12
36.3078,5.45566E-12
38.0189,5.20569E-12
39.8107,4.96754E-12
41.6869,4.74063E-12
43.6516,4.52442E-12
45.7088,4.31840E-12
47.8630,4.12209E-12
50.1187,3.93502E-12
52.4807,3.75676E-12
54.9541,3.58689E-12
57.5440,3.42501E-12
60.2560,3.27074E-12
63.0957,3.12374E-12
66.0693,2.98365E-12
69.1831,2.85017E-12
72.4436,2.72297E-12
75.8578,2.60176E-12
79.4328,2.48628E-12
83.1764,2.37626E-12
87.0964,2.27144E-12
91.2011,2.17159E-12
95.4993,2.07648E-12
100.000,1.98590E-12
104.713,1.89963E-12
109.648,1.81749E-12
114.815,1.73930E-12
120.226,1.66486E-12
125.893,1.59403E-12
131.826,1.52663E-12
138.038,1.46251E-12
144.544,1.40154E-12
151.356,1.34356E-12
158.489,1.28846E-12
165.959,1.23610E-12
173.780,1.18638E-12
181.970,1.13916E-12
190.546,1.09435E-12
199.526,1.05184E-12
208.930,1.01154E-12
218.776,973.340E-15
229.087,937.161E-15
239.883,902.915E-15
251.189,870.517E-15
263.027,839.889E-15
275.423,810.954E-15
288.403,783.638E-15
301.995,757.871E-15
316.228,733.585E-15
331.131,710.713E-15
346.737,689.192E-15
363.078,668.960E-15
380.189,649.958E-15
398.107,632.128E-15
416.869,615.414E-15
436.516,599.761E-15
457.088,585.116E-15
478.630,571.428E-15
501.187,558.649E-15
524.807,546.728E-15
549.541,535.621E-15
575.440,525.281E-15
602.560,515.665E-15
630.957,506.730E-15
660.693,498.437E-15
691.831,490.747E-15
724.436,483.621E-15
758.578,477.024E-15
794.328,470.922E-15
831.764,465.282E-15
870.964,460.073E-15
912.011,455.265E-15
954.993,450.831E-15
1.00000E3,446.745E-15
1.04713E3,442.980E-15
1.09648E3,439.514E-15
1.14815E3,436.324E-15
1.20226E3,433.391E-15
1.25893E3,430.694E-15
1.31826E3,428.216E-15
1.38038E3,425.940E-15
1.44544E3,423.849E-15
1.51356E3,421.930E-15
1.58489E3,420.169E-15
1.65959E3,418.553E-15
1.73780E3,417.070E-15
1.81970E3,415.711E-15
1.90546E3,414.464E-15
1.99526E3,413.321E-15
2.08930E3,412.273E-15
2.18776E3,411.312E-15
2.29087E3,410.431E-15
2.39883E3,409.624E-15
2.51189E3,408.884E-15
2.63027E3,408.206E-15
2.75423E3,407.585E-15
2.88403E3,407.015E-15
3.01995E3,406.493E-15
3.16228E3,406.015E-15
3.31131E3,405.576E-15
3.46737E3,405.174E-15
3.63078E3,404.805E-15
3.80189E3,404.467E-15
3.98107E3,404.157E-15
4.16869E3,403.873E-15
4.36516E3,403.612E-15
4.57088E3,403.372E-15
4.78630E3,403.153E-15
5.01187E3,402.951E-15
5.24807E3,402.766E-15
5.49541E3,402.596E-15
5.75440E3,402.440E-15
6.02560E3,402.297E-15
6.30957E3,402.165E-15
6.60693E3,402.044E-15
6.91831E3,401.933E-15
7.24436E3,401.830E-15
7.58578E3,401.736E-15
7.94328E3,401.650E-15
8.31764E3,401.570E-15
8.70964E3,401.497E-15
9.12011E3,401.429E-15
9.54993E3,401.367E-15
10.0000E3,401.309E-15
10.4713E3,401.256E-15
10.9648E3,401.208E-15
11.4815E3,401.163E-15
12.0226E3,401.121E-15
