freq (Hz),output noise; A / sqrt(Hz) (A / sqrt(Hz))
100.000E-3,514.237E-12
102.329E-3,508.601E-12
104.713E-3,503.033E-12
107.152E-3,497.531E-12
109.648E-3,492.095E-12
112.202E-3,486.725E-12
114.815E-3,481.418E-12
117.490E-3,476.175E-12
120.226E-3,470.996E-12
123.027E-3,465.878E-12
125.893E-3,460.822E-12
128.825E-3,455.827E-12
131.826E-3,450.892E-12
134.896E-3,446.017E-12
138.038E-3,441.201E-12
141.254E-3,436.443E-12
144.544E-3,431.743E-12
147.911E-3,427.099E-12
151.356E-3,422.513E-12
154.882E-3,417.981E-12
158.489E-3,413.505E-12
162.181E-3,409.084E-12
165.959E-3,404.717E-12
169.824E-3,400.403E-12
173.780E-3,396.142E-12
177.828E-3,391.933E-12
181.970E-3,387.775E-12
186.209E-3,383.669E-12
190.546E-3,379.614E-12
194.984E-3,375.608E-12
199.526E-3,371.652E-12
204.174E-3,367.745E-12
208.930E-3,363.886E-12
213.796E-3,360.075E-12
218.776E-3,356.312E-12
223.872E-3,352.595E-12
229.087E-3,348.925E-12
234.423E-3,345.300E-12
239.883E-3,341.721E-12
245.471E-3,338.187E-12
251.189E-3,334.697E-12
257.040E-3,331.251E-12
263.027E-3,327.849E-12
269.153E-3,324.489E-12
275.423E-3,321.173E-12
281.838E-3,317.898E-12
288.403E-3,314.665E-12
295.121E-3,311.472E-12
301.995E-3,308.321E-12
309.030E-3,305.210E-12
316.228E-3,302.139E-12
323.594E-3,299.107E-12
331.131E-3,296.115E-12
338.844E-3,293.160E-12
346.737E-3,290.245E-12
354.813E-3,287.367E-12
363.078E-3,284.526E-12
371.535E-3,281.722E-12
380.189E-3,278.955E-12
389.045E-3,276.224E-12
398.107E-3,273.529E-12
407.380E-3,270.869E-12
416.869E-3,268.245E-12
426.580E-3,265.655E-12
436.516E-3,263.099E-12
446.684E-3,260.578E-12
457.088E-3,258.090E-12
467.735E-3,255.635E-12
478.630E-3,253.213E-12
489.779E-3,250.824E-12
501.187E-3,248.467E-12
512.861E-3,246.141E-12
524.807E-3,243.848E-12
537.032E-3,241.585E-12
549.541E-3,239.353E-12
562.341E-3,237.152E-12
575.440E-3,234.981E-12
588.844E-3,232.840E-12
602.560E-3,230.728E-12
616.595E-3,228.646E-12
630.957E-3,226.592E-12
645.654E-3,224.567E-12
660.693E-3,222.571E-12
676.083E-3,220.602E-12
691.831E-3,218.661E-12
707.946E-3,216.747E-12
724.436E-3,214.861E-12
741.310E-3,213.001E-12
758.578E-3,211.168E-12
776.247E-3,209.361E-12
794.328E-3,207.580E-12
812.831E-3,205.825E-12
831.764E-3,204.095E-12
851.138E-3,202.390E-12
870.964E-3,200.710E-12
891.251E-3,199.054E-12
912.011E-3,197.423E-12
933.254E-3,195.816E-12
954.993E-3,194.232E-12
977.237E-3,192.672E-12
1.00000,191.136E-12
1.02329,189.622E-12
1.04713,188.131E-12
1.07152,186.662E-12
1.09648,185.215E-12
1.12202,183.791E-12
1.14815,182.388E-12
1.17490,181.006E-12
1.20226,179.646E-12
1.23027,178.306E-12
1.25893,176.988E-12
1.28825,175.689E-12
1.31826,174.411E-12
1.34896,173.153E-12
1.38038,171.915E-12
1.41254,170.696E-12
1.44544,169.497E-12
1.47911,168.316E-12
1.51356,167.155E-12
1.54882,166.012E-12
1.58489,164.887E-12
1.62181,163.780E-12
1.65959,162.692E-12
1.69824,161.621E-12
1.73780,160.567E-12
1.77828,159.531E-12
1.81970,158.512E-12
1.86209,157.509E-12
1.90546,156.524E-12
1.94984,155.554E-12
1.99526,154.601E-12
2.04174,153.664E-12
2.08930,152.743E-12
2.13796,151.837E-12
2.18776,150.946E-12
2.23872,150.071E-12
2.29087,149.211E-12
2.34423,148.365E-12
2.39883,147.534E-12
2.45471,146.718E-12
2.51189,145.915E-12
2.57040,145.127E-12
2.63027,144.352E-12
2.69153,143.591E-12
2.75423,142.843E-12
2.81838,142.109E-12
2.88403,141.388E-12
2.95121,140.679E-12
3.01995,139.983E-12
3.09030,139.300E-12
3.16228,138.629E-12
3.23594,137.970E-12
3.31131,137.322E-12
3.38844,136.687E-12
3.46737,136.063E-12
3.54813,135.451E-12
3.63078,134.850E-12
3.71535,134.260E-12
3.80189,133.681E-12
3.89045,133.113E-12
3.98107,132.555E-12
4.07380,132.008E-12
4.16869,131.471E-12
4.26580,130.944E-12
4.36516,130.427E-12
4.46684,129.920E-12
4.57088,129.422E-12
4.67735,128.934E-12
4.78630,128.455E-12
4.89779,127.986E-12
5.01187,127.525E-12
5.12861,127.073E-12
5.24807,126.630E-12
5.37032,126.196E-12
5.49541,125.770E-12
5.62341,125.352E-12
5.75440,124.943E-12
5.88844,124.541E-12
6.02560,124.148E-12
6.16595,123.762E-12
6.30957,123.383E-12
6.45654,123.013E-12
6.60693,122.649E-12
6.76083,122.293E-12
6.91831,121.944E-12
7.07946,121.602E-12
7.24436,121.267E-12
7.41310,120.938E-12
7.58578,120.616E-12
7.76247,120.301E-12
7.94328,119.992E-12
8.12831,119.689E-12
8.31764,119.392E-12
8.51138,119.102E-12
8.70964,118.817E-12
8.91251,118.538E-12
9.12011,118.265E-12
9.33254,117.998E-12
9.54993,117.736E-12
9.77237,117.479E-12
10.0000,117.228E-12
10.2329,116.982E-12
10.4713,116.741E-12
10.7152,116.505E-12
10.9648,116.273E-12
11.2202,116.047E-12
11.4815,115.826E-12
11.7490,115.609E-12
12.0226,115.396E-12
12.3027,115.188E-12
12.5893,114.985E-12
12.8825,114.785E-12
13.1826,114.590E-12
13.4896,114.399E-12
13.8038,114.213E-12
14.1254,114.030E-12
14.4544,113.850E-12
14.7911,113.675E-12
15.1356,113.504E-12
15.4882,113.336E-12
15.8489,113.171E-12
16.2181,113.011E-12
16.5959,112.853E-12
16.9824,112.699E-12
17.3780,112.549E-12
17.7828,112.401E-12
18.1970,112.257E-12
18.6209,112.116E-12
19.0546,111.978E-12
19.4984,111.842E-12
19.9526,111.710E-12
20.4174,111.581E-12
20.8930,111.454E-12
21.3796,111.330E-12
21.8776,111.209E-12
22.3872,111.091E-12
22.9087,110.975E-12
23.4423,110.861E-12
23.9883,110.750E-12
24.5471,110.642E-12
25.1189,110.536E-12
25.7040,110.432E-12
26.3027,110.330E-12
26.9153,110.231E-12
27.5423,110.134E-12
28.1838,110.039E-12
28.8403,109.946E-12
29.5121,109.855E-12
30.1995,109.766E-12
30.9030,109.679E-12
31.6228,109.594E-12
32.3594,109.510E-12
33.1131,109.429E-12
33.8844,109.350E-12
34.6737,109.272E-12
35.4813,109.196E-12
36.3078,109.121E-12
37.1535,109.048E-12
38.0189,108.977E-12
38.9045,108.908E-12
39.8107,108.840E-12
40.7380,108.773E-12
41.6869,108.708E-12
42.6580,108.644E-12
43.6516,108.582E-12
44.6684,108.521E-12
45.7088,108.462E-12
46.7735,108.404E-12
47.8630,108.347E-12
48.9779,108.291E-12
50.1187,108.237E-12
51.2861,108.184E-12
52.4807,108.132E-12
53.7032,108.081E-12
54.9541,108.031E-12
56.2341,107.983E-12
57.5440,107.935E-12
58.8844,107.889E-12
60.2560,107.844E-12
61.6595,107.799E-12
63.0957,107.756E-12
64.5654,107.713E-12
66.0693,107.672E-12
67.6083,107.631E-12
69.1831,107.592E-12
70.7946,107.553E-12
72.4436,107.515E-12
74.1310,107.478E-12
75.8578,107.442E-12
77.6247,107.407E-12
79.4328,107.372E-12
81.2831,107.338E-12
83.1764,107.305E-12
85.1138,107.273E-12
87.0964,107.241E-12
89.1251,107.211E-12
91.2011,107.180E-12
93.3254,107.151E-12
95.4993,107.122E-12
97.7237,107.094E-12
100.000,107.066E-12
